Name_ID,Name,Sex,Age,Class,Ticket,Joined,Occupation,Boat [Body],Price,Job,Survived,URL,Date_Death,DoB_Clean,Age_F_Code,Age_F,sibsp,parch
183,"BESSETTE, Miss Nellie Mayo ",female,39,1,17760,Cherbourg,Personal Maid  ,8,£63 7s 2d,Servant,1,/titanic-survivor/nellie-bessette.html,7/23/1944,10/7/1872,C,39,0,0
188,"BIDOIS, Miss Rosalie ",female,46,1,17757,Cherbourg,Personal Maid  ,4,£247 10s 6d,Servant,1,/titanic-survivor/rosalie-bidois.html,9/24/1938,5/10/1865,C,46,0,0
194,"BIRD, Miss Ellen ",female,31,1,17483,Southampton,Personal Maid  ,8,£221 15s 7d,Servant,1,/titanic-survivor/ellen-bird.html,9/11/1949,4/8/1881,C,31,0,0
196,"BIRNBAUM, Mr Jakob ",male,24,1,13905,Cherbourg,, [148],£26,,0,/titanic-victim/jakob-birnbaum.html,4/15/1912,5/24/1887,C,24,0,0
197,"BISHOP, Mr Dickinson H. ",male,25,1,11967,Cherbourg,,7,£91 1s 7d,,1,/titanic-survivor/dickinson-bishop.html,2/16/1961,3/24/1887,C,25,1,0
199,"BISHOP, Mrs Helen ",female,19,1,11967,Cherbourg,,7,£91 1s 7d,,1,/titanic-survivor/helen-bishop.html,3/15/1916,5/19/1892,C,19,1,0
201,"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Hokan ",male,28,1,110564,Southampton,Businessman  ,D ,£26 11s,,1,/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html,5/21/1962,11/9/1883,C,28,0,0
205,"BLACKWELL, Mr Stephen Weart ",male,45,1,113784,Southampton,,  ,£35 10s,,0,/titanic-victim/stephen-weart-blackwell.html,4/15/1912,9/6/1866,C,45,0,0
210,"BLANK, Mr Henry ",male,39,1,112277,Cherbourg,Jeweller  ,7,£31,,1,/titanic-survivor/henry-blank.html,3/17/1949,9/17/1872,C,39,0,0
219,"BONNELL, Miss Caroline ",female,30,1,36928,Southampton,,8,£164 17s 4d,,1,/titanic-survivor/caroline-bonnell.html,3/13/1950,4/3/1882,C,30,0,0
220,"BONNELL, Miss Elizabeth ",female,61,1,113783,Southampton,,8,£26 11s,,1,/titanic-survivor/elizabeth-bonnell.html,2/20/1936,7/29/1850,C,61,0,0
222,"BOREBANK, Mr John James ",male,42,1,110489,Southampton,Property Developer / Real Estate  ,  ,£26 11s,,0,/titanic-victim/john-james-borebank.html,4/15/1912,5/1/1870,C,41,0,0
234,"BOWEN, Miss Grace Scott ",female,45,1,17608,Cherbourg,Governess  ,4,£262 7s 6d,Servant,1,/titanic-survivor/grace-scott-bowen.html,5/3/1945,3/9/1867,C,45,0,0
237,"BOWERMAN, Miss Elsie Edith ",female,22,1,113505,Southampton,,6,£55,,1,/titanic-survivor/elsie-edith-bowerman.html,10/18/1973,12/18/1889,C,22,0,1
247,"BRADY, Mr John Bertram ",male,41,1,113054,Southampton,,  ,£30 10s,,0,/titanic-victim/john-bertram-brady.html,4/15/1912,12/3/1870,C,41,0,0
250,"BRANDEIS, Mr Emil ",male,48,1,17591,Cherbourg,, [208],£50 9s 11d,,0,/titanic-victim/emil-brandeis.html,4/15/1912,3/15/1864,C,48,0,0
253,"BRERETON, Mr George Andrew ",male,37,1,111427,Southampton,,9,£26 11s,,1,/titanic-survivor/george-brereton.html,7/16/1942,11/12/1874,C,37,0,0
254,"BREWE, Dr Arthur Jackson ",male,45,1,112379,Cherbourg,,  ,£39 12s,,0,/titanic-victim/arthur-jackson-brewe.html,4/15/1912,6/30/1866,M,45,0,0
278,"BROWN, Mrs Caroline Lane ",female,59,1,11769,Southampton,,D ,£51 9s 7d,,1,/titanic-survivor/caroline-lane-brown.html,6/26/1928,7/8/1852,C,59,2,0
280,"BROWN, Mrs Margaret ",female,44,1,17610,Cherbourg,,6,£27 14s 5d,,1,/titanic-survivor/molly-brown.html,10/26/1932,7/18/1867,C,44,0,0
286,"BUCKNELL, Mrs Emma Eliza ",female,58,1,11813,Cherbourg,,8,£76 5s 10d,,1,/titanic-survivor/emma-bucknell.html,6/27/1927,7/29/1853,C,58,0,0
295,"BURNS, Miss Elizabeth Margaret ",female,41,1,16966,Cherbourg,Nursemaid  ,3,£134 10s,Servant,1,/titanic-survivor/elizabeth-burns.html,5/29/1921,12/15/1870,C,41,0,0
304,"BUTT, Major Archibald Willingham ",male,46,1,113050,Southampton,Military  ,  ,£26 11s,,0,/titanic-victim/archibald-butt.html,4/15/1912,9/26/1865,C,46,0,0
315,"CAIRNS, Mr Alexander Milne ",male,28,1,113798,Southampton,Servant  ,  ,£31,Servant,0,/titanic-victim/alexander-cairns.html,4/15/1912,4/19/1883,C,28,0,0
316,"CALDERHEAD, Mr Edward Pennington ",male,42,1,17476,Southampton,,5,£26 5s 9d,,1,/titanic-survivor/edward-pennington-calderhead.html,4/5/1961,6/4/1869,C,42,0,0
328,"CANDEE, Mrs Helen Churchill ",female,52,1,17606,Cherbourg,,6,£27 8s 11d,,1,/titanic-survivor/helen-churchill-candee.html,8/23/1949,10/5/1859,C,52,0,0
334,"CARDEZA, Mr Thomas Drake Martinez ",male,36,1,17755,Cherbourg,Gentleman  ,3,£512 6s 7d,,1,/titanic-survivor/thomas-cardeza.html,6/6/1952,5/10/1875,C,36,0,1
335,"CARDEZA, Mrs Charlotte Wardle ",female,58,1,17755,Cherbourg,,3,£512 6s 7d,,1,/titanic-survivor/charlotte-cardeza.html,8/1/1939,4/10/1854,C,58,0,1
338,"CARLSSON, Mr Frans Olof ",male,33,1,695,Southampton,,  ,£5,,0,/titanic-victim/frans-olof-carlsson.html,4/15/1912,9/29/1878,C,33,0,0
342,"CARRAU, Mr Francisco Mauro Severiano ",male,27,1,113059,Southampton,,  ,£47 2s,,0,/titanic-victim/francisco-carrau.html,4/15/1912,11/8/1884,C,27,0,0
343,"CARRAú-ESTEVES, Mr José Pedro ",male,17,1,113059,Southampton,,  ,£47 2s,,0,/titanic-victim/jose-pedro-carrau.html,4/15/1912,8/30/1894,C,17,0,0
345,"CARTER, Master William Thornton II ",male,11,1,113760,Southampton,,4,£120,,1,/titanic-survivor/william-thornton-carter.html,1/28/1985,9/14/1900,C,11,1,2
346,"CARTER, Miss Lucile Polk ",female,13,1,113760,Southampton,,4,£120,,1,/titanic-survivor/lucile-polk-carter.html,10/19/1962,10/20/1898,C,13,1,2
347,"CARTER, Mr William Ernest ",male,36,1,113760,Southampton,,C ,£120,,1,/titanic-survivor/william-carter.html,3/20/1940,6/19/1875,C,36,1,2
349,"CARTER, Mrs Lucile ",female,36,1,113760,Southampton,,4,£120,,1,/titanic-survivor/lucile-carter.html,10/26/1934,10/8/1875,C,36,1,2
354,"CASE, Mr Howard Brown ",male,49,1,19924,Southampton,,  ,£26,,0,/titanic-victim/howard-case.html,4/15/1912,6/30/1863,M,48,0,0
356,"CASSEBEER, Mrs Eleanor Genevieve ",female,36,1,17770,Cherbourg,,5,£27 14s 5d,,1,/titanic-survivor/eleanor-cassebeer.html, ,11/29/1875,C,36,0,0
363,"CAVENDISH, Mr Tyrell William ",male,36,1,19877,Southampton,, [172],£78 17s,,0,/titanic-victim/tyrell-william-cavendish.html,4/15/1912,10/12/1875,C,36,1,0
364,"CAVENDISH, Mrs Julia Florence ",female,25,1,19877,Southampton,,6,£78 17s,,1,/titanic-survivor/julia-florence-cavendish.html,1/16/1963,11/3/1886,C,25,1,0
368,"CHAFFEE, Mr Herbert Fuller ",male,46,1,5734,Southampton,,  ,£61 3s 6d,,0,/titanic-victim/herbert-fuller-chaffee.html,4/15/1912,11/20/1865,C,46,1,0
369,"CHAFFEE, Mrs Carrie Constance ",female,47,1,5734,Southampton,,4,£61 3s 6d,,1,/titanic-survivor/carrie-constance-chaffee.html,7/4/1931,8/28/1864,C,47,1,0
370,"CHAMBERS, Mr Norman Campbell ",male,27,1,113806,Southampton,,5,£53 2s,,1,/titanic-survivor/norman-campbell-chambers.html,2/9/1966,4/27/1884,C,27,1,0
371,"CHAMBERS, Mrs Bertha ",female,32,1,113806,Southampton,,5,£53 2s,,1,/titanic-survivor/bertha-chambers.html,10/18/1959,10/10/1879,C,32,1,0
378,"CHAUDANSON, Miss Victorine ",female,36,1,17608,Cherbourg,Personal Maid  ,4,£262 7s 6d,Servant,1,/titanic-survivor/victorine-chaudanson.html,8/13/1962,9/28/1875,C,36,0,0
380,"CHERRY, Miss Gladys ",female,30,1,110152,Southampton,Of Independent Means  ,8,£86 10s,,1,/titanic-survivor/gladys-cherry.html,5/4/1965,8/27/1881,C,30,0,0
382,"CHEVRé, Mr Paul Romaine Marie Léonce ",male,45,1,17594,Cherbourg,Sculptor  ,7,£29 14s,,1,/titanic-survivor/paul-chevre.html,2/20/1914,7/5/1866,C,45,0,0
383,"CHIBNALL, Mrs Edith Martha Bowerman ",female,48,1,113505,Southampton,Of Independent Means  ,6,£55,,1,/titanic-survivor/edith-martha-chibnall.html,10/8/1953,2/27/1864,C,48,0,1
396,"CLARK, Mr Walter Miller ",male,27,1,13508,Cherbourg,,  ,£136 15s 7d,,0,/titanic-victim/walter-miller-clark.html,4/15/1912,5/13/1884,C,27,1,0
398,"CLARK, Mrs Virginia Estelle ",female,26,1,13508,Cherbourg,,4,£136 15s 7d,,1,/titanic-survivor/virginia-clark.html,12/21/1958,5/30/1885,C,26,1,0
402,"CLEAVER, Miss Alice Catherine ",female,22,1,113781,Southampton,Nursemaid  ,11,£151 16s,Servant,1,/titanic-survivor/alice-cleaver.html,11/1/1984,7/5/1889,C,22,0,0
405,"CLIFFORD, Mr George Quincy ",male,40,1,110465,Southampton,,  ,£52,,0,/titanic-victim/george-quincy-clifford.html,4/15/1912,11/20/1871,C,40,0,0
417,"COLLEY, Mr Edward Pomeroy ",male,37,1,5727,Southampton,,  ,£25 11s 9d,,0,/titanic-victim/edward-pomeroy-colley.html,4/15/1912,4/15/1875,C,36,0,0
425,"COMPTON, Miss Sara Rebecca ",female,39,1,17756,Cherbourg,,14,£83 3s 2d,,1,/titanic-survivor/sara-rebecca-compton.html,6/16/1952,4/30/1872,C,39,1,1
426,"COMPTON, Mr Alexander Taylor jr ",male,37,1,17756,Cherbourg,,  ,£83 3s 2d,,0,/titanic-victim/alexander-taylor-compton.html,4/15/1912,8/16/1874,C,37,1,1
427,"COMPTON, Mrs Mary Eliza ",female,64,1,17756,Cherbourg,,14,£83 3s 2d,,1,/titanic-survivor/mary-eliza-compton.html,12/4/1930,8/7/1847,C,64,0,2
450,"CORNELL, Mrs Malvina Helen ",female,55,1,11770,Southampton,,2,£25 14s 10d,,1,/titanic-survivor/malvina-helen-cornell.html,7/12/1941,12/10/1856,C,55,2,0
466,"CRAFTON, Mr John Bertram ",male,59,1,113791,Southampton,Businessman  ,  ,£26 11s,,0,/titanic-victim/john-bertram-crafton.html,4/15/1912,2/15/1853,D,59,0,0
476,"CROSBY, Captain Edward Gifford ",male,70,1,5735,Southampton,, [269],£71,,0,/titanic-victim/edward-gifford-crosby.html,4/15/1912,2/18/1842,C,70,1,1
477,"CROSBY, Miss Harriette Rebecca ",female,39,1,112901,Southampton,,7,£26 11s,,1,/titanic-survivor/harriette-rebecca-crosby.html,2/11/1941,10/8/1872,C,39,0,2
478,"CROSBY, Mrs Catherine Elizabeth ",female,64,1,5735,Southampton,,7,£71,,1,/titanic-survivor/catherine-elizabeth-crosby.html,7/29/1920,10/26/1847,C,64,1,1
485,"CUMINGS, Mr John Bradley ",male,39,1,17599,Cherbourg,,  ,£71 5s 8d,,0,/titanic-victim/john-bradley-cumings.html,4/15/1912,9/26/1872,C,39,1,0
486,"CUMINGS, Mrs Florence Briggs ",female,35,1,17599,Cherbourg,,4,£71 5s 8d,,1,/titanic-survivor/florence-briggs-cumings.html,9/2/1949,12/31/1876,C,35,1,0
497,"DALY, Mr Peter Dennis ",male,51,1,113055,Southampton,Businessman  ,  ,£26 11s,,1,/titanic-survivor/peter-dennis-daly.html,12/24/1932,7/17/1860,C,51,0,0
501,"DANIEL, Mr Robert Williams ",male,27,1,113804,Southampton,,3,£30 10s,,1,/titanic-survivor/robert-williams-daniel.html,12/20/1940,9/11/1884,C,27,0,0
502,"DANIELS, Miss Sarah Rebecca ",female,33,1,113781,Southampton,Personal Maid  ,8,£151 16s,Servant,1,/titanic-survivor/sarah-daniels.html, ,11/10/1875,C,36,0,0
506,"DAVIDSON, Mr Thornton ",male,31,1,12750,Cherbourg,,  ,£52,,0,/titanic-victim/thornton-davidson.html,4/15/1912,5/17/1880,C,31,1,0
507,"DAVIDSON, Mrs Orian ",female,27,1,12750,Cherbourg,,3,£52,,1,/titanic-survivor/orian-davidson.html,5/3/1979,11/18/1884,C,27,1,2
550,"DICK, Mr Albert Adrian ",male,31,1,17474,Southampton,,3,£57,,1,/titanic-survivor/albert-adrian-dick.html,6/2/1970,7/29/1880,C,31,1,0
551,"DICK, Mrs Vera ",female,17,1,17474,Southampton,,3,£57,,1,/titanic-survivor/vera-dick.html,10/7/1973,6/12/1894,C,17,1,0
562,"DODGE, Dr Washington ",male,52,1,33638,Southampton,Politician  ,13,£81 17s 2d,,1,/titanic-survivor/washington-dodge.html,6/30/1919,6/3/1859,C,52,1,1
563,"DODGE, Master Washington ",male,4,1,33638,Southampton,,5,£81 17s 2d,,1,/titanic-survivor/washington-dodge-jr.html,12/3/1974,9/23/1907,C,4,0,2
564,"DODGE, Mrs Ruth ",female,34,1,33638,Southampton,,5,£81 17s 2d,,1,/titanic-survivor/ruth-dodge.html,7/19/1950,3/27/1878,C,34,1,1
578,"DOUGLAS, Mr Walter Donald ",male,50,1,17761,Cherbourg,, [62],£106 8s 6d,,0,/titanic-victim/walter-donald-douglas.html,4/15/1912,4/21/1861,C,50,1,0
579,"DOUGLAS, Mrs Mahala ",female,48,1,17761,Cherbourg,,2,£106 8s 6d,,1,/titanic-survivor/mahala-douglas.html,4/21/1945,1/26/1864,C,48,1,0
580,"DOUGLAS, Mrs Mary Hélène ",female,27,1,17558,Cherbourg,,6,£247 10s 5d,,1,/titanic-survivor/mary-helene-douglas.html,12/31/1954,4/4/1885,C,27,1,1
591,"DUFF GORDON, Lady Lucy Christiana ",female,48,1,17485,Cherbourg,Dressmaker / Couturière  ,1,£56 18s 7d,,1,/titanic-survivor/lady-duff-gordon.html,4/20/1935,6/13/1863,C,48,1,0
592,"DUFF GORDON, Sir Cosmo Edmund ",male,49,1,11755,Cherbourg,Landowner  ,1,£39 12s,,1,/titanic-survivor/sir-cosmo-duff-gordon.html,4/20/1931,7/22/1862,C,49,1,0
594,"DULLES, Mr William Crothers ",male,39,1,17580,Cherbourg,, [133],£29 14s,,0,/titanic-victim/william-crothers-dulles.html,4/15/1912,12/21/1872,C,39,0,0
607,"EARNSHAW, Mrs Olive ",female,23,1,11767,Cherbourg,Of Independent Means  ,7,£83 3s 2d,,1,/titanic-survivor/olive-earnshaw.html,4/21/1958,9/9/1888,C,23,0,1
626,"ENDRES, Miss Caroline Louise ",female,39,1,17757,Cherbourg,Nurse  ,4,£247 10s 6d,Servant,1,/titanic-survivor/caroline-endres.html,1/11/1964,6/14/1872,C,39,0,0
631,"EUSTIS, Miss Elizabeth Mussey ",female,54,1,36947,Cherbourg,,4,£78 5s 4d,,1,/titanic-survivor/elizabeth-mussey-eustis.html,5/17/1936,3/1/1858,C,54,1,0
632,"EVANS, Miss Edith Corse ",female,36,1,17531,Cherbourg,,  ,£31 13s 7d,,0,/titanic-victim/edith-corse-evans.html,4/15/1912,9/21/1875,C,36,0,0
644,"FARTHING, Mr John ",male,57,1,17483,Southampton,Servant  ,  ,£221 15s 7d,Servant,0,/titanic-victim/john-farthing.html,4/15/1912,6/30/1863,M,48,0,0
662,"FLEGENHEIM, Mrs Antoinette ",female,48,1,17598,Cherbourg,,7,£31 13s 8d,,1,/titanic-survivor/antoinette-flegenheim.html, ,5/11/1863,C,48,0,0
664,"FLEMING, Miss Margaret ",female,42,1,17421,Cherbourg,Personal Maid  ,4,£110 17s 8d,Servant,1,/titanic-survivor/margaret-fleming.html,8/24/1941,1/31/1870,C,42,0,0
668,"FLYNN, Mr John Irwin ",male,36,1,PC 14474,Southampton,,5,£26 5s 9d,,1,/titanic-survivor/john-irwin-flynn.html, ,6/26/1875,C,36,0,0
684,"FOREMAN, Mr Benjamin Laventall ",male,30,1,113051,Southampton,,  ,£27 15s,,0,/titanic-victim/benjamin-foreman.html,4/15/1912,11/15/1881,D,30,0,0
685,"FORTUNE, Miss Alice Elizabeth ",female,24,1,19950,Southampton,,10,£263,,1,/titanic-survivor/alice-elizabeth-fortune.html,4/7/1961,5/10/1887,C,24,3,2
686,"FORTUNE, Miss Ethel Flora ",female,28,1,19950,Southampton,,10,£263,,1,/titanic-survivor/ethel-flora-fortune.html,3/21/1961,9/22/1883,C,28,3,2
687,"FORTUNE, Miss Mabel Helen ",female,23,1,19950,Southampton,,10,£263,,1,/titanic-survivor/mabel-helen-fortune.html,2/19/1968,11/3/1888,C,23,3,2
688,"FORTUNE, Mr Charles Alexander ",male,19,1,19950,Southampton,,  ,£263,,0,/titanic-victim/charles-alexander-fortune.html,4/15/1912,10/13/1892,C,19,3,2
689,"FORTUNE, Mr Mark ",male,64,1,19950,Southampton,,  ,£263,,0,/titanic-victim/mark-fortune.html,4/15/1912,11/2/1847,C,64,1,4
690,"FORTUNE, Mrs Mary ",female,60,1,19950,Southampton,,10,£263,,1,/titanic-survivor/mary-fortune.html,3/8/1929,5/6/1851,C,60,1,4
696,"FRANCATELLI, Miss Laura Mabel ",female,31,1,17485,Cherbourg,Secretary  ,1,£56 18s 7d,Servant,1,/titanic-survivor/laura-mabel-francatelli.html,6/2/1967,6/30/1880,M,31,0,0
698,"FRANKLIN, Mr Thomas Parnham ",male,37,1,113778,Southampton,,  ,£26 11s,,0,/titanic-victim/thomas-parnham-franklin.html,4/15/1912,5/9/1874,C,37,0,0
701,"FRAUENTHAL, Dr Henry William ",male,49,1,17611,Southampton,Doctor  ,5,£133 13s,,1,/titanic-survivor/henry-william-frauenthal.html,3/11/1927,3/13/1863,C,49,2,0
702,"FRAUENTHAL, Mr Isaac Gerald ",male,43,1,17765,Cherbourg,,5,£27 14s 5d,,1,/titanic-survivor/isaac-gerald-frauenthal.html,11/16/1932,10/7/1868,C,43,1,0
703,"FRAUENTHAL, Mrs Clara ",female,42,1,17611,Southampton,,5,£133 13s,,1,/titanic-survivor/clara-frauenthal.html,3/30/1943,12/1/1869,C,42,1,0
706,"FRöLICHER, Miss Hedwig Margaritha ",female,22,1,13568,Cherbourg,,5,£49 10s,,1,/titanic-survivor/hedwig-margaritha-frolicher.html,7/16/1972,8/13/1889,C,22,0,2
707,"FRöLICHER-STEHLI, Mr Maximilian Josef ",male,60,1,13567,Cherbourg,,5,£79 4s,,1,/titanic-survivor/maximilian-frolicher-stehli.html,11/22/1913,9/24/1851,C,60,1,1
708,"FRöLICHER-STEHLI, Mrs Margaretha Emerentia ",female,48,1,13567,Cherbourg,,5,£79 4s,,1,/titanic-survivor/margaretha-frolicher-stehli.html,3/21/1955,2/15/1864,C,48,1,1
713,"FUTRELLE, Mr Jacques Heath ",male,37,1,113803,Southampton,Writer  ,  ,£53 2s,,0,/titanic-victim/jacques-futrelle.html,4/15/1912,4/9/1875,C,37,1,0
725,"GEE, Mr Arthur H. ",male,47,1,111320,Southampton,, [275],£38 10s,,0,/titanic-victim/arthur-gee.html,4/15/1912,3/21/1865,C,47,0,0
731,"GIBSON, Miss Dorothy Winifred ",female,22,1,112378,Cherbourg,,7,£59 8s,,1,/titanic-survivor/dorothy-gibson.html,2/17/1946,5/17/1889,C,22,0,1
732,"GIBSON, Mrs Pauline Caroline ",female,44,1,112378,Cherbourg,,7,£59 8s,,1,/titanic-survivor/pauline-gibson.html, ,6/30/1867,C,44,0,1
733,"GIEGER, Miss Amalie ",female,35,1,113503,Southampton,Personal Maid  ,4,£211 10s,Servant,1,/titanic-survivor/emily-gieger.html,11/14/1933,,A,35,0,0
734,"GIGLIO, Mr Victor Gaitan Andrea ",male,23,1,17593,Cherbourg,Servant  ,  ,£79 4s,Servant,0,/titanic-victim/victor-giglio.html,4/15/1912,6/17/1888,C,23,0,0
752,"GOLDENBERG, Mr Samuel L. ",male,47,1,17453,Cherbourg,,5,£89 2s 1d,,1,/titanic-survivor/samuel-goldenberg.html,10/11/1936,9/8/1864,C,47,1,0
753,"GOLDENBERG, Mrs Nella ",female,40,1,17453,Cherbourg,,5,£89 2s 1d,,1,/titanic-survivor/nella-goldenberg.html, ,,A,40,1,0
755,"GOLDSCHMIDT, Mr George B. ",male,71,1,17754,Cherbourg,Lawyer  ,  ,£34 13s 1d,,0,/titanic-victim/george-goldschmidt.html,4/15/1912,10/16/1840,C,71,0,0
774,"GRACIE, Colonel Archibald ",male,53,1,113780,Southampton,Writer  ,B ,£28 10s,,1,/titanic-survivor/colonel-archibald-gracie.html,12/4/1912,1/17/1859,C,53,0,0
776,"GRAHAM, Miss Margaret Edith ",female,19,1,17582,Southampton,,3,£153 9s 3d,,1,/titanic-survivor/margaret-edith-graham.html,4/26/1976,2/16/1893,C,19,0,0
777,"GRAHAM, Mr George Edward ",male,38,1,112053,Southampton,Sales Manager  , [147],£30,,0,/titanic-victim/george-edward-graham.html,4/15/1912,6/11/1873,C,38,0,1
779,"GRAHAM, Mrs Edith ",female,59,1,17582,Southampton,,3,£153 9s 3d,,1,/titanic-survivor/edith-graham.html,12/29/1924,10/15/1852,D,59,0,1
783,"GREENFIELD, Mr William Bertram ",male,23,1,17759,Cherbourg,,7,£63 7s 2d,,1,/titanic-survivor/william-bertram-greenfield.html,11/12/1949,5/11/1888,C,23,0,1
784,"GREENFIELD, Mrs Blanche ",female,45,1,17759,Cherbourg,,7,£63 7s 2d,,1,/titanic-survivor/blanche-greenfield.html,11/5/1936,2/21/1867,C,45,0,1
790,"GUGGENHEIM, Mr Benjamin ",male,46,1,17593,Cherbourg,Businessman  ,  ,£79 4s,,0,/titanic-victim/benjamin-guggenheim.html,4/15/1912,10/26/1865,C,46,0,0
826,"HARDER, Mr George Achilles ",male,25,1,11765,Cherbourg,Businessman  ,5,£55 8s 10d,,1,/titanic-survivor/george-achilles-harder.html,5/26/1959,10/22/1886,C,25,1,0
828,"HARDER, Mrs Dorothy ",female,21,1,11765,Cherbourg,,5,£55 8s 10d,,1,/titanic-survivor/dorothy-harder.html,12/1/1926,7/4/1890,C,21,1,0
835,"HARPER, Mr Henry Sleeper ",male,48,1,17572,Cherbourg,Of Independent Means  ,3,£76 14s 7d,,1,/titanic-survivor/henry-sleeper-harper.html,3/1/1944,3/11/1864,C,48,1,0
836,"HARPER, Mrs Myra Raymond ",female,49,1,17572,Cherbourg,,3,£76 14s 7d,,1,/titanic-survivor/myra-harper.html,11/14/1923,2/10/1863,C,49,1,0
838,"HARRINGTON, Mr Charles Henry ",male,37,1,113796,Southampton,Servant  ,  ,£42 8s,Servant,0,/titanic-victim/charles-harrington.html,4/15/1912,6/30/1875,M,36,0,0
846,"HARRIS, Mr Henry Birkhardt ",male,45,1,36973,Southampton,Theatre Manager  ,  ,£83 9s 6d,,0,/titanic-victim/henry-birkhardt-harris.html,4/15/1912,12/1/1866,C,45,1,0
848,"HARRIS, Mrs Irene ",female,35,1,36973,Southampton,,D ,£83 9s 6d,,1,/titanic-survivor/irene-harris.html,9/2/1969,6/15/1876,C,35,1,0
