"Lot_Frontage","Lot_Area","Street","Lot_Shape","Utilities","Neighborhood","Bldg_Type","House_Style","Overall_Cond","Year_Built","Roof_Style","Total_Bsmt_SF","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Full_Bath","Half_Bath","Bedroom_AbvGr","TotRms_AbvGrd","Garage_Finish","Garage_Cars","Garage_Area","Pool_Area","Year_Sold","Sale_Type","Sale_Price","Longitude","Latitude"
0,7980,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","One_Story","Good",1992,"Gable",1168,1187,0,1187,2,0,3,6,"Fin",2,420,0,2010,"WD ",185000,-93.635951,42.057419
63,8402,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","Two_Story","Average",1998,"Gable",789,789,676,1465,2,1,3,7,"Fin",2,393,0,2010,"WD ",180400,-93.638647,42.058151
85,10176,"Pave","Regular","AllPub","Gilbert","OneFam","One_Story","Average",1990,"Gable",1300,1341,0,1341,1,1,2,5,"Unf",2,506,0,2010,"WD ",171500,-93.634626,42.057268
0,6820,"Pave","Slightly_Irregular","AllPub","Stone_Brook","TwnhsE","One_Story","Average",1985,"Gable",1488,1502,0,1502,1,1,1,4,"RFn",2,528,0,2010,"WD ",212000,-93.632913,42.059169
47,53504,"Pave","Moderately_Irregular","AllPub","Stone_Brook","OneFam","Two_Story","Average",2003,"Hip",1650,1690,1589,3279,3,1,4,12,"Fin",3,841,0,2010,"WD ",538000,-93.62655,42.061239
152,12134,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","One_and_Half_Fin","Good",1988,"Gable",559,1080,672,1752,2,0,4,8,"RFn",2,492,0,2010,"WD ",164000,-93.6235954,42.0603514
88,11394,"Pave","Regular","AllPub","Stone_Brook","OneFam","One_Story","Poor",2010,"Hip",1856,1856,0,1856,1,1,1,8,"Fin",3,834,0,2010,"New",394432,-93.628804,42.05885
140,19138,"Pave","Regular","AllPub","Gilbert","OneFam","One_Story","Average",1951,"Gable",864,864,0,864,1,0,2,4,"Unf",2,400,0,2010,"WD ",141000,-93.622971,42.056673
85,13175,"Pave","Regular","AllPub","Northwest_Ames","OneFam","One_Story","Above_Average",1978,"Gable",1542,2073,0,2073,2,0,3,7,"Unf",2,500,0,2010,"WD ",210000,-93.636655,42.054453
105,11751,"Pave","Slightly_Irregular","AllPub","Northwest_Ames","OneFam","One_Story","Above_Average",1977,"Hip",1844,1844,0,1844,2,0,3,7,"RFn",2,546,0,2010,"COD",190000,-93.633962,42.050346
85,10625,"Pave","Regular","AllPub","Northwest_Ames","OneFam","SFoyer","Above_Average",1974,"Gable",1053,1173,0,1173,2,0,3,6,"RFn",2,528,0,2010,"WD ",170000,-93.636372,42.05027
0,7500,"Pave","Regular","AllPub","Somerset","OneFam","Two_Story","Average",2000,"Gable",814,814,860,1674,2,1,3,7,"RFn",2,663,0,2010,"WD ",216000,-93.639366,42.049297
0,11241,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","One_Story","Good",1970,"Gable",1004,1004,0,1004,1,0,2,5,"Fin",2,480,0,2010,"WD ",149000,-93.626231,42.055147
0,12537,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","One_Story","Above_Average",1971,"Gable",1078,1078,0,1078,1,1,3,6,"Fin",2,500,0,2010,"WD ",149900,-93.626537,42.054592
65,8450,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Above_Average",1968,"Gable",1056,1056,0,1056,1,0,3,6,"Unf",1,304,0,2010,"WD ",142000,-93.628806,42.055227
70,8400,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Average",1970,"Gable",882,882,0,882,1,0,2,4,"Fin",2,525,0,2010,"WD ",126000,-93.627112,42.053395
70,10500,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Average",1971,"Gable",864,864,0,864,1,0,3,5,"No_Garage",0,0,0,2010,"ConLI",115000,-93.622769,42.056375
26,5858,"Pave","Slightly_Irregular","AllPub","North_Ames","TwnhsE","One_Story","Average",1999,"Gable",1405,1337,0,1337,2,0,2,5,"Fin",2,511,0,2010,"WD ",184000,-93.624373,42.055318
21,1680,"Pave","Regular","AllPub","Briardale","Twnhs","Two_Story","Average",1971,"Gable",483,483,504,987,1,1,2,5,"Unf",1,264,0,2010,"COD",96000,-93.627271,42.051835
21,1680,"Pave","Regular","AllPub","Briardale","Twnhs","Two_Story","Average",1971,"Gable",525,525,567,1092,1,1,3,6,"Unf",1,320,0,2010,"WD ",105500,-93.627536,42.051684
21,1680,"Pave","Regular","AllPub","Briardale","Twnhs","Two_Story","Average",1971,"Gable",525,525,567,1092,1,1,3,6,"Unf",1,264,0,2010,"WD ",88000,-93.62728,42.051685
53,4043,"Pave","Regular","AllPub","Northpark_Villa","TwnhsE","One_Story","Average",1977,"Gable",1069,1069,0,1069,2,0,2,4,"RFn",2,440,0,2010,"WD ",127500,-93.627232,42.049672
24,2280,"Pave","Regular","AllPub","Northpark_Villa","Twnhs","Two_Story","Above_Average",1975,"Gable",855,855,601,1456,2,1,3,6,"Unf",2,440,0,2010,"WD ",149900,-93.625924,42.050683
24,2280,"Pave","Regular","AllPub","Northpark_Villa","Twnhs","One_Story","Above_Average",1975,"Gable",836,836,0,836,1,0,2,4,"Unf",1,308,0,2010,"WD ",120000,-93.625966,42.050681
24,2280,"Pave","Regular","AllPub","Northpark_Villa","Twnhs","Two_Story","Average",1978,"Gable",855,855,601,1456,2,1,3,7,"Unf",2,440,0,2010,"WD ",146000,-93.625848,42.049811
102,12858,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","OneFam","Two_Story","Average",2009,"Gable",1590,1627,707,2334,2,1,3,10,"Fin",3,751,0,2010,"New",376162,-93.653201,42.062352
98,11478,"Pave","Regular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2007,"Gable",1704,1704,0,1704,2,0,3,7,"RFn",3,772,0,2010,"WD ",306000,-93.654645,42.062109
83,10159,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2009,"Hip",1930,1940,0,1940,2,1,3,8,"Fin",3,606,0,2010,"New",395192,-93.6537329,42.0611331
94,12883,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2009,"Gable",1544,1544,0,1544,2,0,3,7,"RFn",3,868,0,2010,"New",290941,-93.6528306,42.0612885
95,12182,"Pave","Regular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2005,"Gable",1541,1541,0,1541,2,0,3,7,"RFn",2,532,0,2010,"New",220000,-93.652713,42.060872
90,11520,"Pave","Regular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2005,"Hip",1698,1698,0,1698,2,0,3,7,"Fin",3,730,0,2010,"WD ",275000,-93.65332,42.0608079
79,14122,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2005,"Hip",1822,1822,0,1822,2,0,3,8,"RFn",3,678,0,2010,"WD ",259000,-93.652336,42.060879
70,10171,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2004,"Gable",1517,1535,0,1535,2,0,3,7,"RFn",2,532,0,2010,"WD ",214000,-93.652307,42.060298
100,12919,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2009,"Hip",2330,2364,0,2364,2,1,2,11,"Fin",3,820,0,2010,"New",611657,-93.655051,42.059617
44,6371,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","TwnhsE","One_Story","Average",2009,"Gable",1358,1358,0,1358,2,0,2,6,"RFn",2,484,0,2010,"New",224000,-93.650436,42.058388
110,14300,"Pave","Regular","AllPub","Northridge_Heights","OneFam","One_Story","Average",2003,"Hip",2846,2696,0,2696,2,1,3,10,"Fin",3,958,0,2010,"WD ",500000,-93.656067,42.058599
105,13650,"Pave","Regular","AllPub","Northridge_Heights","OneFam","Two_Story","Average",2002,"Gable",1671,1687,563,2250,2,1,3,7,"Fin",3,756,0,2010,"WD ",320000,-93.654853,42.057102
61,7658,"Pave","Regular","AllPub","Northridge_Heights","TwnhsE","One_Story","Average",2005,"Hip",1752,1752,0,1752,2,0,2,6,"RFn",2,576,0,2010,"WD ",319900,-93.654121,42.057164
41,7132,"Pave","Slightly_Irregular","AllPub","Northridge_Heights","TwnhsE","One_Story","Average",2006,"Gable",1370,1370,0,1370,2,0,2,6,"RFn",2,484,0,2010,"WD ",205000,-93.649447,42.058252
36,2628,"Pave","Regular","AllPub","Northridge_Heights","Twnhs","Two_Story","Average",2003,"Gable",764,764,862,1626,2,1,2,6,"RFn",2,474,0,2010,"WD ",175500,-93.651013,42.057181
100,18494,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","One_Story","Average",2005,"Gable",1324,1324,0,1324,2,0,3,6,"Fin",2,430,0,2010,"WD ",199500,-93.644356,42.061928
43,3203,"Pave","Regular","AllPub","Bloomington_Heights","TwnhsE","One_Story","Average",2006,"Gable",1145,1145,0,1145,2,0,2,6,"Fin",2,437,0,2010,"WD ",160000,-93.641635,42.06257
43,3182,"Pave","Regular","AllPub","Bloomington_Heights","TwnhsE","One_Story","Average",2004,"Gable",1256,1269,0,1269,2,0,2,6,"Fin",2,430,0,2010,"WD ",192000,-93.642252,42.062303
67,13300,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","SLvl","Average",2004,"Gable",384,744,630,1374,2,1,3,7,"Fin",2,400,0,2010,"WD ",184500,-93.644076,42.061443
0,7851,"Pave","Regular","AllPub","Gilbert","OneFam","Two_Story","Average",2002,"Gable",860,860,1100,1960,2,1,4,8,"Fin",2,440,0,2010,"WD ",216500,-93.641487,42.060977
63,8577,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","Two_Story","Average",2004,"Gable",847,847,886,1733,2,1,3,7,"Fin",2,433,0,2010,"WD ",185088,-93.642447,42.061193
0,7750,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","SLvl","Average",2000,"Gable",384,774,656,1430,2,1,3,7,"Fin",2,400,0,2010,"WD ",180000,-93.641325,42.060936
0,9505,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","Two_Story","Average",2001,"Gable",884,884,1151,2035,2,1,3,8,"Fin",2,434,0,2010,"WD ",222500,-93.641337,42.057103
108,14774,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","Two_Story","Average",1999,"Gable",1393,1422,1177,2599,2,1,4,10,"Fin",3,779,0,2010,"WD ",333168,-93.651381,42.054386
60,17433,"Pave","Moderately_Irregular","AllPub","Northridge","OneFam","Two_Story","Average",1998,"Hip",1629,1645,830,2475,2,1,4,7,"Fin",3,962,0,2010,"WD ",355000,-93.652334,42.053243
59,10593,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","One_Story","Average",1996,"Hip",1720,1720,0,1720,2,0,3,7,"Fin",2,527,0,2010,"WD ",260400,-93.654206,42.051721
98,12256,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","Two_Story","Average",1994,"Gable",1463,1500,1122,2622,2,1,3,9,"RFn",2,712,0,2010,"WD ",325000,-93.653616,42.051674
92,11764,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","Two_Story","Good",1999,"Gable",1152,1164,1106,2270,2,1,4,9,"Fin",3,671,0,2010,"WD ",290000,-93.650356,42.052457
58,16770,"Pave","Moderately_Irregular","AllPub","Northridge","OneFam","Two_Story","Average",1998,"Gable",1195,1195,644,1839,2,1,4,7,"Fin",2,486,0,2010,"WD ",221000,-93.650578,42.052437
56,14720,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","One_and_Half_Fin","Average",1995,"Hip",2033,2053,1185,3238,2,1,4,9,"Fin",3,666,0,2010,"WD ",410000,-93.652972,42.050909
73,8987,"Pave","Regular","AllPub","Somerset","OneFam","One_Story","Average",2005,"Gable",1595,1595,0,1595,2,0,2,6,"RFn",3,880,0,2010,"WD ",221500,-93.642368,42.05306
92,9215,"Pave","Regular","AllPub","Somerset","OneFam","One_Story","Average",2009,"Hip",1218,1218,0,1218,2,0,2,4,"RFn",2,676,0,2010,"New",204500,-93.649976,42.051827
72,8640,"Pave","Regular","AllPub","Somerset","OneFam","Two_Story","Average",2009,"Gable",756,764,783,1547,2,1,3,7,"Unf",2,614,0,2010,"Con",215200,-93.650318,42.051653
75,9000,"Pave","Regular","AllPub","Somerset","OneFam","One_Story","Average",2008,"Gable",1566,1566,0,1566,2,0,3,7,"RFn",2,750,0,2010,"WD ",262500,-93.647105,42.050084
100,12552,"Pave","Regular","AllPub","Somerset","OneFam","Two_Story","Average",2004,"Gable",991,991,956,1947,2,1,3,8,"RFn",2,678,0,2010,"WD ",254900,-93.642773,42.052347
84,10440,"Pave","Regular","AllPub","Somerset","OneFam","One_Story","Average",2005,"Gable",1468,1468,0,1468,2,0,2,6,"Fin",2,528,0,2010,"WD ",271500,-93.642224,42.051429
76,10142,"Pave","Slightly_Irregular","AllPub","Sawyer_West","OneFam","Two_Story","Average",2004,"Gable",956,956,1128,2084,2,1,4,8,"RFn",2,618,0,2010,"WD ",233000,-93.692309,42.036255
70,11920,"Pave","Regular","AllPub","Sawyer_West","OneFam","Two_Story","Average",2004,"Gable",831,831,828,1659,2,1,3,8,"RFn",2,484,0,2010,"WD ",181000,-93.692412,42.036113
0,8880,"Pave","Slightly_Irregular","AllPub","Sawyer_West","OneFam","Two_Story","Average",1994,"Gable",948,1222,888,2110,2,1,3,8,"RFn",2,463,0,2010,"WD ",205000,-93.68981,42.036026
50,8012,"Pave","Regular","AllPub","Sawyer_West","TwnhsE","One_Story","Average",1980,"Gable",923,923,0,923,2,0,2,5,"RFn",1,264,0,2010,"WD ",143000,-93.686417,42.03548
70,11218,"Pave","Regular","AllPub","Sawyer_West","OneFam","Two_Story","Average",1992,"Gable",1055,1055,790,1845,2,1,3,8,"RFn",2,462,0,2010,"WD ",189000,-93.687694,42.036659
55,7892,"Pave","Regular","AllPub","Sawyer_West","TwnhsE","One_Story","Average",1979,"Gable",918,918,0,918,2,0,2,5,"Unf",1,264,0,2010,"WD ",99500,-93.686263,42.034589
50,7175,"Pave","Regular","AllPub","Sawyer_West","TwnhsE","One_Story","Average",1984,"Gable",744,752,0,752,1,0,2,4,"Unf",1,264,0,2010,"WD ",125000,-93.686264,42.0347
0,9453,"Pave","Slightly_Irregular","AllPub","Sawyer_West","OneFam","Two_Story","Good",1993,"Gable",996,1014,730,1744,2,1,3,7,"RFn",2,457,0,2010,"WD ",194500,-93.68628,42.036633
81,9672,"Pave","Regular","AllPub","Sawyer_West","OneFam","One_Story","Average",1984,"Hip",1040,1097,0,1097,2,0,3,6,"Unf",2,480,0,2010,"WD ",152000,-93.685028,42.034555
70,8400,"Pave","Regular","AllPub","Sawyer_West","OneFam","Two_Story","Above_Average",1980,"Gable",650,888,676,1564,2,1,3,7,"Unf",2,476,0,2010,"WD ",171000,-93.685029,42.034678
70,9800,"Pave","Regular","AllPub","Sawyer_West","OneFam","One_Story","Average",1920,"Gable",816,1012,0,1012,1,0,2,5,"Unf",1,429,0,2010,"WD ",67500,-93.6790694,42.0360754
68,8930,"Pave","Regular","AllPub","Sawyer","Duplex","One_and_Half_Fin","Average",1978,"Gable",0,1318,584,1902,2,0,4,8,"Unf",2,539,0,2010,"WD ",112000,-93.677205,42.036535
88,11782,"Pave","Slightly_Irregular","AllPub","Sawyer","OneFam","SFoyer","Good",1961,"Gable",1109,1155,0,1155,1,0,3,6,"Unf",2,576,0,2010,"WD ",148000,-93.673669,42.034793
65,8450,"Pave","Regular","AllPub","Sawyer","OneFam","One_Story","Very_Good",1965,"Gable",894,894,0,894,1,0,3,5,"Unf",1,336,0,2010,"WD ",138500,-93.670956,42.035685
0,9819,"Pave","Slightly_Irregular","AllPub","Sawyer","OneFam","One_Story","Average",1967,"Gable",882,900,0,900,1,0,3,5,"Unf",1,280,0,2010,"WD ",122000,-93.672096,42.034856
75,7500,"Pave","Regular","AllPub","Sawyer","OneFam","One_Story","Average",1963,"Gable",1040,1040,0,1040,1,1,3,5,"Fin",1,308,0,2010,"WD ",133000,-93.672067,42.03457
0,6897,"Pave","Slightly_Irregular","AllPub","Sawyer","OneFam","One_Story","Very_Good",1962,"Gable",1040,1040,0,1040,1,1,3,6,"Unf",1,260,0,2010,"WD ",127000,-93.669688,42.035333
39,15410,"Pave","Slightly_Irregular","AllPub","Sawyer","OneFam","One_Story","Above_Average",1974,"Hip",1208,1494,0,1494,2,0,3,7,"Fin",2,461,0,2010,"WD ",169000,-93.660672,42.034603
107,10186,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","Two_Story","Average",1992,"Gable",750,1061,862,1923,2,1,3,8,"RFn",2,564,0,2010,"WD ",190000,-93.646749,42.048253
85,13143,"Pave","Slightly_Irregular","AllPub","Northridge","OneFam","Two_Story","Average",1993,"Gable",1231,1251,1098,2349,2,1,4,9,"RFn",3,762,0,2010,"WD ",362500,-93.651773,42.046825
88,11134,"Pave","Regular","AllPub","Northridge","OneFam","Two_Story","Average",1992,"Gable",1390,1402,823,2225,2,1,4,7,"RFn",3,713,0,2010,"WD ",285000,-93.652773,42.045773
25,4835,"Pave","Slightly_Irregular","AllPub","Somerset","TwnhsE","One_Story","Average",2004,"Gable",1488,1488,0,1488,2,0,2,6,"Fin",2,506,0,2010,"WD ",260000,-93.647988,42.047452
39,3515,"Pave","Regular","AllPub","Somerset","TwnhsE","Two_Story","Average",2004,"Gable",840,840,840,1680,2,1,2,3,"RFn",2,588,0,2010,"WD ",190000,-93.64614,42.048086
30,3215,"Pave","Regular","AllPub","Somerset","TwnhsE","Two_Story","Average",2004,"Gable",600,600,600,1200,2,1,2,4,"RFn",2,480,0,2010,"ConLD",155000,-93.645599,42.048566
30,3182,"Pave","Regular","AllPub","Somerset","TwnhsE","Two_Story","Average",2004,"Gable",600,600,600,1200,2,1,2,4,"RFn",2,480,0,2010,"WD ",151000,-93.644889,42.047899
24,2544,"Pave","Regular","AllPub","Somerset","Twnhs","Two_Story","Average",2004,"Gable",600,600,600,1200,2,1,2,4,"RFn",2,480,0,2010,"WD ",149500,-93.644889,42.047876
24,2544,"Pave","Regular","AllPub","Somerset","Twnhs","Two_Story","Average",2005,"Gable",600,600,636,1236,2,1,2,4,"RFn",2,480,0,2010,"WD ",152000,-93.64489,42.047782
0,4403,"Pave","Moderately_Irregular","AllPub","Somerset","OneFam","One_Story","Average",2009,"Gable",1470,1478,0,1478,2,1,2,7,"Fin",2,484,0,2010,"New",222000,-93.6468879,42.0471748
0,2117,"Pave","Regular","AllPub","Somerset","Twnhs","Two_Story","Average",2000,"Gable",756,769,804,1573,2,1,3,5,"Unf",2,440,0,2010,"WD ",177500,-93.645606,42.046145
0,2980,"Pave","Regular","AllPub","Somerset","TwnhsE","Two_Story","Average",2000,"Gable",756,756,756,1512,2,1,2,5,"Unf",2,440,0,2010,"WD ",177000,-93.645585,42.046145
24,2572,"Pave","Regular","AllPub","Somerset","Twnhs","Two_Story","Average",1999,"Hip",696,696,720,1416,2,1,3,6,"Unf",2,484,0,2010,"WD ",155000,-93.645482,42.046424
0,2403,"Pave","Slightly_Irregular","AllPub","Somerset","TwnhsE","Two_Story","Average",2003,"Gable",530,530,550,1080,2,1,2,4,"RFn",2,496,0,2010,"WD ",147110,-93.645478,42.046114
57,12853,"Pave","Slightly_Irregular","AllPub","Somerset","OneFam","One_Story","Average",2010,"Gable",1642,1418,0,1418,1,1,1,6,"RFn",3,852,0,2010,"New",267916,-93.641253,42.0470316
68,7379,"Pave","Slightly_Irregular","AllPub","Somerset","OneFam","Two_Story","Average",2000,"Gable",975,975,873,1848,2,1,3,7,"RFn",2,592,0,2010,"WD ",254000,-93.643556,42.04638
30,4420,"Pave","Slightly_Irregular","AllPub","Greens","TwnhsE","One_Story","Average",1980,"Gable",728,788,0,788,1,0,1,3,"Fin",2,484,0,2010,"WD ",155000,-93.649361,42.042565
40,3880,"Pave","Slightly_Irregular","AllPub","Greens","Twnhs","One_Story","Above_Average",1978,"Gable",1226,1226,0,1226,1,0,1,4,"Fin",2,484,0,2010,"WD ",206000,-93.648143,42.043704
0,13517,"Pave","Slightly_Irregular","AllPub","Sawyer","OneFam","Two_Story","Very_Good",1976,"Gable",725,725,754,1479,2,1,3,6,"RFn",2,475,0,2010,"WD ",130500,-93.65921,42.034561
80,8000,"Pave","Regular","AllPub","Somerset","OneFam","One_Story","Average",2002,"Gable",1492,1492,0,1492,2,0,3,6,"RFn",2,596,0,2010,"WD ",230000,-93.639516,42.048606
0,10456,"Pave","Slightly_Irregular","AllPub","Northwest_Ames","OneFam","One_Story","Above_Average",1967,"Hip",1829,1829,0,1829,2,0,4,8,"RFn",2,535,0,2010,"WD ",218500,-93.633351,42.046322
80,10791,"Pave","Regular","AllPub","Northwest_Ames","OneFam","Two_Story","Average",1993,"Gable",1280,1280,1215,2495,2,1,4,9,"Unf",2,660,0,2010,"WD ",243500,-93.636879,42.043038
0,10603,"Pave","Slightly_Irregular","AllPub","Northwest_Ames","OneFam","One_Story","Good",1977,"Gable",1610,1610,0,1610,2,0,3,6,"RFn",2,480,0,2010,"WD ",205000,-93.637463,42.043306
0,18837,"Pave","Slightly_Irregular","AllPub","Northwest_Ames","OneFam","One_and_Half_Fin","Average",1978,"Gable",1224,1287,604,1891,3,0,3,7,"RFn",2,678,0,2010,"WD ",212500,-93.637531,42.043306
80,10421,"Pave","Regular","AllPub","Northwest_Ames","OneFam","Two_Story","Average",1988,"Gable",980,980,734,1714,2,1,3,7,"Unf",2,496,0,2010,"WD ",196500,-93.637788,42.043329
78,9360,"Pave","Regular","AllPub","Northwest_Ames","OneFam","One_Story","Good",1972,"Hip",1161,1381,0,1381,1,1,3,5,"RFn",2,676,0,2010,"WD ",197500,-93.631435,42.043822
80,9600,"Pave","Regular","AllPub","Northwest_Ames","OneFam","Two_Story","Above_Average",1971,"Gable",715,930,715,1645,1,2,4,7,"RFn",2,441,0,2010,"WD ",171000,-93.632554,42.043821
80,9600,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Average",1966,"Hip",1232,1232,0,1232,1,1,3,6,"RFn",2,490,0,2010,"WD ",142250,-93.626137,42.046574
0,9790,"Pave","Regular","AllPub","Northwest_Ames","OneFam","One_Story","Average",1963,"Hip",1328,1328,0,1328,1,1,3,6,"Unf",2,528,0,2010,"WD ",143000,-93.625926,42.042205
77,9320,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","One_Story","Average",1959,"Gable",950,1225,0,1225,1,1,3,6,"No_Garage",0,0,0,2010,"WD ",128950,-93.623383,42.043363
90,9900,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Average",1966,"Hip",1209,1209,0,1209,1,0,3,6,"RFn",2,504,0,2010,"ConLD",159000,-93.626939,42.039085
88,9680,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Above_Average",1967,"Gable",1510,1510,0,1510,2,0,3,6,"RFn",2,517,0,2010,"WD ",178900,-93.627536,42.038971
0,10600,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","SLvl","Average",1964,"Gable",533,1131,644,1775,2,0,3,8,"Unf",2,480,0,2010,"COD",136300,-93.626785,42.040326
0,14112,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","SLvl","Good",1964,"Hip",1152,1152,0,1152,1,0,3,6,"RFn",2,484,0,2010,"WD ",180500,-93.627809,42.041146
80,8800,"Pave","Regular","AllPub","North_Ames","OneFam","SFoyer","Good",1963,"Gable",936,1054,0,1054,1,0,3,6,"RFn",2,480,0,2010,"WD ",137500,-93.625728,42.040391
98,13260,"Pave","Slightly_Irregular","AllPub","North_Ames","Duplex","One_Story","Above_Average",1962,"Hip",1728,1728,0,1728,2,0,6,10,"No_Garage",0,0,0,2010,"Oth",84900,-93.622904,42.0418387
68,9717,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Above_Average",1950,"Hip",1078,1078,0,1078,1,0,2,5,"Unf",1,240,0,2010,"WD ",142125,-93.622864,42.039211
68,9724,"Pave","Regular","AllPub","North_Ames","OneFam","One_and_Half_Fin","Good",1952,"Gable",1140,1929,532,2461,2,0,3,7,"Unf",2,400,0,2010,"WD ",197600,-93.620651,42.039211
120,17360,"Pave","Regular","AllPub","North_Ames","OneFam","One_and_Half_Fin","Above_Average",1949,"Gable",782,1019,537,1556,2,0,3,6,"Unf",2,470,0,2010,"WD ",172500,-93.620504,42.038538
50,7207,"Pave","Slightly_Irregular","AllPub","Brookside","OneFam","One_Story","Good",1958,"Gable",858,858,0,858,1,0,2,4,"No_Garage",0,0,0,2010,"WD ",116500,-93.629287,42.035256
55,5350,"Pave","Slightly_Irregular","AllPub","Brookside","OneFam","One_Story","Poor",1940,"Gable",728,1306,0,1306,1,0,3,6,"No_Garage",0,0,0,2010,"WD ",76500,-93.629313,42.035482
80,9920,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Average",1954,"Gable",1056,1063,0,1063,1,0,3,6,"RFn",1,280,0,2010,"WD ",128000,-93.62475,42.035943
